title,other_title,director,actors,year,area,genre,rating,rating_people,quote,detail_url
哈利·波特与阿兹卡班的囚徒,/ 哈利波特3：阿兹卡班的逃犯(港 / 台),阿方索·卡隆 Alfonso Cuarón,丹尼尔·雷德克里夫 Daniel Rad...,2004,英国 美国,奇幻 冒险,9.0,0,,https://movie.douban.com/subject/1291544/
西西里的美丽传说,/ 真爱伴我行(台)  /  玛莲娜,朱塞佩·托纳多雷 Giuseppe Tornatore,莫妮卡·贝鲁奇 Monica ...,2000,意大利 美国,剧情 战争 情色,8.9,0,,https://movie.douban.com/subject/1292402/
阿凡达,/,詹姆斯·卡梅隆 James Cameron,萨姆·沃辛顿 Sam Worthington ...,2009,美国,动作 科幻 冒险,8.8,0,,https://movie.douban.com/subject/1652587/
看不见的客人,/ 死无对证(港)  /  布局(台),奥里奥尔·保罗 Oriol Paulo,马里奥·卡萨斯 Mario Casas / 阿...,2016,西班牙,剧情 犯罪 悬疑 惊悚,8.8,0,,https://movie.douban.com/subject/26580232/
拯救大兵瑞恩,/ 雷霆救兵(港)  /  抢救雷恩大兵(台),史蒂文·斯皮尔伯格 Steven Spielberg,汤姆·汉克斯 Tom Hanks...,1998,美国,剧情 战争,9.1,0,,https://movie.douban.com/subject/1292849/
沉默的羔羊,/ 沉默的羔羊,乔纳森·戴米 Jonathan Demme,朱迪·福斯特 Jodie Foster / 安...,1991,美国,剧情 犯罪 惊悚,8.9,0,,https://movie.douban.com/subject/1293544/
小鞋子,/ 天堂的孩子  /  小童鞋,马基德·马基迪 Majid Majidi,默罕默德·阿米尔·纳吉 Mohamma...,1997,伊朗,剧情 儿童 家庭,9.2,0,,https://movie.douban.com/subject/1303021/
布达佩斯大饭店,/ 布达佩斯大酒店(港)  /  欢迎来到布达佩斯大饭店(台),韦斯·安德森 Wes Anderson,拉尔夫·费因斯 Ralph Fiennes / ...,2014,美国 德国 英国,剧情 喜剧 冒险,8.9,0,,https://movie.douban.com/subject/11525673/
蝴蝶效应,/ 蝴蝶效应,埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber   主...,,2004,美国 加拿大,剧情 悬疑 科幻 惊悚,8.9,0,,https://movie.douban.com/subject/1292343/
飞越疯人院,/ 飞越杜鹃窝(台)  /  飞越喜鹊巢,米洛斯·福尔曼 Miloš Forman,杰克·尼科尔森 Jack Nichols...,1975,美国,剧情,9.1,0,,https://movie.douban.com/subject/1292224/
还有明天,/ 明天还有梦(港)  /  我们还有明天(台),宝拉·柯特莱西 Paola Cortellesi,宝拉·柯特莱西 Paola Corte...,2023,意大利,剧情 喜剧 历史,9.3,0,,https://movie.douban.com/subject/36445098/
禁闭岛,/ 不赦岛(港)  /  隔离岛(台),Martin Scorsese,莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...,2010,美国,剧情 悬疑 惊悚,8.9,0,,https://movie.douban.com/subject/2334904/
心灵捕手,/ 骄阳似我(港)  /  心灵捕手,格斯·范·桑特 Gus Van Sant,马特·达蒙 Matt Damon / 罗宾·...,1997,美国,剧情,9.0,0,,https://movie.douban.com/subject/1292656/
致命魔术,/ 死亡魔法(港)  /  顶尖对决(台),克里斯托弗·诺兰 Christopher Nolan,休·杰克曼 Hugh Jackman...,2006,英国 美国,剧情 悬疑 惊悚,8.9,0,,https://movie.douban.com/subject/1780330/
低俗小说,/ 危险人物(港)  /  黑色追缉令(台),昆汀·塔伦蒂诺 Quentin Tarantino,约翰·特拉沃尔塔 John Tra...,1994,美国,剧情 喜剧 犯罪,8.9,0,,https://movie.douban.com/subject/1291832/
超脱,/ 人间师格(台),托尼·凯耶 Tony Kaye,艾德里安·布洛迪 Adrien Brody / 马西...,2011,美国,剧情,9.0,0,,https://movie.douban.com/subject/5322596/
哈利·波特与密室,/ 哈利波特2：消失的密室(港 / 台),Chris Columbus,丹尼尔·雷德克里夫 Daniel Radcliffe / 艾玛...,2002,英国 美国,奇幻 冒险,8.9,0,,https://movie.douban.com/subject/1296996/
一一,/ Yi yi  /  Yi yi: A One and a Two,杨德昌 Edward Yang,吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...,2000,中国台湾 日本,剧情 爱情 家庭,9.1,0,,https://movie.douban.com/subject/1292434/
喜剧之王,/ King of Comedy,周星驰 Stephen Chow / 李力持 Lik-Chi Lee,周星驰 Stephen Ch...,1999,中国香港,喜剧 剧情 爱情,8.8,0,,https://movie.douban.com/subject/1302425/
杀人回忆,/ 谋杀回忆  /  杀手回忆录,奉俊昊 Joon-ho Bong,宋康昊 Kang-ho Song / 金相庆 Sang-kyun...,2003,韩国,剧情 动作 犯罪 悬疑 惊悚,8.9,0,,https://movie.douban.com/subject/1300299/
摩登时代,/ The Masses  /  Les Temps modernes,查理·卓别林 Charles Chaplin,查理·卓别林 Charles Chaplin ...,1936,美国,剧情 喜剧 爱情,9.3,0,,https://movie.douban.com/subject/1294371/
致命ID,/ 杀人游戏  /  致命身份,詹姆斯·曼高德 James Mangold,约翰·库萨克 John Cusack / 雷...,2003,美国,剧情 悬疑 惊悚,8.9,0,,https://movie.douban.com/subject/1297192/
春光乍泄,/ 一起快乐  /  Happy Together,王家卫 Kar Wai Wong,张国荣 Leslie Cheung / 梁朝伟 Tony Leu...,1997,中国香港 日本 韩国,剧情 爱情 同性,9.0,0,,https://movie.douban.com/subject/1292679/
加勒比海盗,/ 加勒比海盗1：黑珍珠号的诅咒  /  神鬼奇航：鬼盗船魔咒(台),戈尔·维宾斯基 Gore Verbinski,约翰尼·德普 Johnny Depp / ...,2003,美国,动作 冒险 奇幻,8.8,0,,https://movie.douban.com/subject/1298070/
海豚湾,/ 血色海湾(台)  /  海湾,路易·西霍尤斯 Louie Psihoyos,路易·西霍尤斯 Louie Psihoyo...,2009,美国,纪录片,9.3,0,,https://movie.douban.com/subject/3442220/
美国往事,/ 四海兄弟(台)  /  义薄云天(港),赛尔乔·莱翁内 Sergio Leone,罗伯特·德尼罗 Robert De Niro ...,1984,美国 意大利,犯罪 剧情,9.1,0,,https://movie.douban.com/subject/1292262/
红辣椒,/ 盗梦侦探(港 / 台),今敏 Satoshi Kon,林原惠美 Megumi Hayashibara / 江守彻 Toru...,2006,日本,动画 悬疑 科幻 惊悚,9.0,0,,https://movie.douban.com/subject/1865703/
七宗罪,/ 火线追缉令(台)  /  7宗罪,大卫·芬奇 David Fincher,摩根·弗里曼 Morgan Freeman / 布...,1995,美国,剧情 犯罪 悬疑 惊悚,8.8,0,,https://movie.douban.com/subject/1292223/
唐伯虎点秋香,/ Flirting Scholar,李力持 Lik-Chi Lee,周星驰 Stephen Chow / 巩俐 Li Gong / 陈...,1993,中国香港,喜剧 爱情 古装,8.8,0,,https://movie.douban.com/subject/1306249/
狩猎,/ 诬网(港)  /  谎言的烙印(台),托马斯·温特伯格 Thomas Vinterberg,麦斯·米科尔森 Mads Mik...,2012,丹麦 瑞典,剧情,9.1,0,,https://movie.douban.com/subject/6985810/
幽灵公主,/ 魔法公主  /  幽灵少女,宫崎骏 Hayao Miyazaki,松田洋治 Yôji Matsuda / 石田百合...,1997,日本,动画 奇幻 冒险,8.9,0,,https://movie.douban.com/subject/1297359/
甜蜜蜜,/ Comrades: Almost a Love Story,陈可辛 Peter Chan,黎明 Leon Lai / 张曼玉 Maggie Cheung / ...,1996,中国香港,剧情 爱情,8.9,0,,https://movie.douban.com/subject/1305164/
寄生虫,/ 寄生上流(台)  /  上流寄生族(港),奉俊昊 Joon-ho Bong,宋康昊 Kang-ho Song / 李善均 Seon-gyun...,2019,韩国,剧情,8.8,0,,https://movie.douban.com/subject/27010768/
天书奇谭,/ 天书奇谭4K纪念版  /  The Legend of Sealed Book,王树忱 Shuchen Wang / 钱运达 Yunda Qian,丁建华 Jianhua Din...,1983(中国大陆),2021,中国大陆,9.2,0,,https://movie.douban.com/subject/1428581/
蝙蝠侠：黑暗骑士崛起,/ 蝙蝠侠前传3：黑暗骑士崛起  /  黑暗骑士：黎明升起(台),克里斯托弗·诺兰 Christopher Nolan,克里斯蒂安·贝尔 Christ...,2012,美国 英国,剧情 动作 科幻 犯罪 惊悚,8.9,0,,https://movie.douban.com/subject/3395373/
超能陆战队,/ 大英雄联盟(港)  /  大英雄天团(台),唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,斯科特...,2014,美国,喜剧 动作 科幻 动画 冒险,8.8,0,,https://movie.douban.com/subject/11026735/
7号房的礼物,/ 戆爸的礼物(港)  /  7号囚房的礼物,李焕庆 Hwan-kyeong Lee,柳承龙 Seung-yong Ryoo / 朴信惠 Shi...,2013,韩国,剧情 喜剧 家庭,8.9,0,,https://movie.douban.com/subject/10777687/
第六感,/ 鬼眼(港)  /  灵异第六感(台),M·奈特·沙马兰 M. Night Shyamalan,布鲁斯·威利斯 Bruce Wi...,1999,美国,剧情 悬疑 惊悚,8.9,0,,https://movie.douban.com/subject/1297630/
茶馆,/ The Teahouse,谢添 Tian Xie,于是之 Shizhi Yu / 郑榕 Rong Zhen / 蓝天野 T...,1982(中国大陆),中国大陆,剧情 历史,9.5,0,,https://movie.douban.com/subject/1461403/
爱在黎明破晓前,/ 情留半天(港)  /  爱在黎明破晓时(台),理查德·林克莱特 Richard Linklater,伊桑·霍克 Ethan Hawke ...,1995,美国 奥地利 瑞士,剧情 爱情,8.8,0,,https://movie.douban.com/subject/1296339/
爱在日落黄昏时,/ 日落巴黎(港)  /  爱在日落巴黎时(台),理查德·林克莱特 Richard Linklater,伊桑·霍克 Ethan Hawke ...,2004,美国 法国,剧情 爱情,8.9,0,,https://movie.douban.com/subject/1291990/
被嫌弃的松子的一生,/ 花样奇缘(港)  /  令人讨厌的松子的一生(台),中岛哲也 Tetsuya Nakashima,中谷美纪 Miki Nakatani / 瑛太 E...,2006,日本,剧情 歌舞,8.8,0,,https://movie.douban.com/subject/1787291/
哈利·波特与火焰杯,/ 哈利波特4：火杯的考验(港 / 台),迈克·内威尔 Mike Newell,丹尼尔·雷德克里夫 Daniel Radclif...,2005,英国 美国,悬疑 奇幻 冒险,8.8,0,,https://movie.douban.com/subject/1309055/
头脑特工队,/ 玩转脑朋友(港)  /  脑筋急转弯(台),彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen  &nb...,,2015,美国,喜剧 动画 冒险,8.8,0,,https://movie.douban.com/subject/10533913/
未麻的部屋,/ 蓝色恐惧(港 / 台),今敏 Satoshi Kon,岩男润子 Junko Iwao / 松本梨香 Rica Matsu...,1997,日本,剧情 犯罪 动画 悬疑 惊悚,9.1,0,,https://movie.douban.com/subject/1395091/
重庆森林,/ Chungking Express,王家卫 Kar Wai Wong,林青霞 Brigitte Lin / 金城武 Takeshi K...,1994,中国香港,剧情 爱情,8.8,0,,https://movie.douban.com/subject/1291999/
借东西的小人阿莉埃蒂,/ 借物少女艾莉缇(台)  /  借东西的小矮人亚莉亚蒂(港),米林宏昌 Hiromasa Yonebayashi,志田未来 Mirai Shida / 神木...,2010,日本,动画 奇幻 冒险,8.9,0,,https://movie.douban.com/subject/4202302/
菊次郎的夏天,/ 菊次郎之夏  /  Kikujirô no natsu,北野武 Takeshi Kitano,北野武 Takeshi Kitano / 关口雄介 Yus...,1999,日本,剧情 喜剧,8.9,0,,https://movie.douban.com/subject/1293359/
入殓师,/ 礼仪师之奏鸣曲(港)  /  礼仪师(台),泷田洋二郎 Yôjirô Takita,本木雅弘 Masahiro Motoki / ...,2008,日本,剧情,8.9,0,,https://movie.douban.com/subject/2149806/
断背山,/ 断臂山  /  BBM,李安 Ang Lee,希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...,2005,美国 加拿大,剧情 爱情 同性 家庭,8.8,0,,https://movie.douban.com/subject/1418834/
剪刀手爱德华,/ 幻海奇缘(港)  /  剪刀手爱德华,蒂姆·波顿 Tim Burton,约翰尼·德普 Johnny Depp / 薇诺娜·...,1990,美国,剧情 爱情 奇幻,8.7,0,,https://movie.douban.com/subject/1292370/
勇敢的心,/ 惊世未了缘(港)  /  梅尔吉勃逊之英雄本色(台),梅尔·吉布森 Mel Gibson,梅尔·吉布森 Mel Gibson / 苏菲·玛...,1995,美国,动作 传记 剧情 历史 战争,8.9,0,,https://movie.douban.com/subject/1294639/
时空恋旅人,/ 回到最爱的一天(港)  /  真爱每一天(台),理查德·柯蒂斯 Richard Curtis,多姆纳尔·格里森 Domhnall Gl...,2013,英国 美国,喜剧 爱情 奇幻,8.8,0,,https://movie.douban.com/subject/10577869/
驯龙高手,/ 驯龙记(港),迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,...,2010,美国,动画 奇幻 冒险,8.8,0,,https://movie.douban.com/subject/2353023/
消失的爱人,/ 失踪的女孩  /  失踪女孩,大卫·芬奇 David Fincher,本·阿弗莱克 Ben Affleck / 罗莎蒙...,2014,美国,剧情 犯罪 悬疑 惊悚,8.7,0,,https://movie.douban.com/subject/21318488/
无人知晓,/ 谁知赤子心(港)  /  无人知晓的夏日清晨(台),是枝裕和 Hirokazu Koreeda,柳乐优弥 Yûya Yagira / 北浦爱...,2004,日本,剧情,9.1,0,,https://movie.douban.com/subject/1292337/
倩女幽魂,/ 倩女幽魂(87版)  /  倩女幽魂：妖魔道,程小东 Siu-Tung Ching,张国荣 Leslie Cheung / 王祖贤 Joey W...,1987,中国香港,爱情 奇幻 武侠 古装,8.8,0,,https://movie.douban.com/subject/1297447/
傲慢与偏见,/ 傲慢与偏见2005  /  Pride And Prejudice,乔·怀特 Joe Wright,凯拉·奈特莉 Keira Knightley / 马修·...,2005,法国 英国 美国,剧情 爱情,8.7,0,,https://movie.douban.com/subject/1418200/
新世界,/ 暗黑新世界(台)  /  New World,朴勋政 Hoon-jung Park,李政宰 Jung-Jae Lee / 崔岷植 Min-sik...,2013,韩国,剧情 犯罪,8.9,0,,https://movie.douban.com/subject/10437779/
花样年华,/ 花样年华导演特别版  /  花样年华4K修复版,王家卫 Kar Wai Wong,张曼玉 Maggie Cheung / 梁朝伟 Tony Leu...,2000,中国香港,剧情 爱情,8.8,0,,https://movie.douban.com/subject/1291557/
玩具总动员3,/ 反斗奇兵3(港)  /  玩具的故事3,李·昂克里奇 Lee Unkrich,汤姆·汉克斯 Tom Hanks / 蒂姆·艾...,2010,美国,喜剧 动画 奇幻 冒险,8.9,0,,https://movie.douban.com/subject/1858711/
一个叫欧维的男人决定去死,/ 明天别再来敲门(台)  /  想死冇咁易(港),汉内斯·赫尔姆 Hannes Holm,罗夫·拉斯加德 Rolf Lassgård...,2015,瑞典,剧情,8.9,0,,https://movie.douban.com/subject/26628357/
完美的世界,/ 强盗保镳,克林特·伊斯特伍德 Clint Eastwood,凯文·科斯特纳 Kevin Cos...,1993,美国,剧情 犯罪,9.1,0,,https://movie.douban.com/subject/1300992/
色，戒,/ 色|戒  /  色·戒,李安 Ang Lee,梁朝伟 Tony Leung Chiu Wai / 汤唯 Wei Tang / ...,2007,中国台湾 中国大陆 美国 中国香港,剧情 爱情 情色,8.7,0,,https://movie.douban.com/subject/1828115/
阳光灿烂的日子,/ In the Heat of the Sun,姜文 Wen Jiang,夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao,1994,中国大陆 中国香港,剧情 爱情,8.8,0,,https://movie.douban.com/subject/1291875/
怪兽电力公司,/ 怪兽公司(港)  /  怪物公司,彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,约...,2001,美国,儿童 喜剧 动画 奇幻 冒险,8.8,0,,https://movie.douban.com/subject/1291579/
小森林 夏秋篇,/ 小森食光 / 夏秋篇(台),森淳一 Junichi Mori,桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,2014,日本,剧情,9.0,0,,https://movie.douban.com/subject/25814705/
天使爱美丽,/ 艾蜜莉的异想世界(台)  /  天使艾米莉,让-皮埃尔·热内 Jean-Pierre Jeunet,奥黛丽·塔图 Audrey Tau...,2001,法国 德国,剧情 喜剧 爱情,8.7,0,,https://movie.douban.com/subject/1292215/
教父3,/ 教父第三集  /  教父 III,弗朗西斯·福特·科波拉 Francis Ford Coppola,阿尔·帕西诺 A...,1990,美国,剧情 犯罪,9.0,0,,https://movie.douban.com/subject/1294240/
侧耳倾听,/ 心之谷(台)  /  梦幻街少女(港),近藤喜文 Yoshifumi Kondo,本名阳子 Youko Honna / 小林桂树 K...,1995,日本,剧情 爱情 动画,8.9,0,,https://movie.douban.com/subject/1297052/
哪吒闹海,/ Prince Nezha's Triumph Against Dragon King  /  Nezha Conquers the Dragon King,王树忱 Shuchen Wang / 严定宪 Dingxian Yan,梁正晖 Zhenghui ...,1979,中国大陆,冒险 动画 奇幻,9.2,0,,https://movie.douban.com/subject/1307315/
九品芝麻官,/ 九品芝麻官之白面包青天  /  Hail the Judge,王晶 Jing Wong,周星驰 Stephen Chow / 吴孟达 Man Tat Ng / ...,1994,中国香港,剧情 喜剧 古装,8.8,0,,https://movie.douban.com/subject/1297518/
被解救的姜戈,/ 被解放的姜戈  /  决杀令(台),昆汀·塔伦蒂诺 Quentin Tarantino,杰米·福克斯 Jamie Foxx /...,2012,美国,剧情 动作 西部 冒险,8.8,0,,https://movie.douban.com/subject/6307447/
请以你的名字呼唤我,/ 以你的名字呼唤我(港 / 台),卢卡·瓜达尼诺 Luca Guadagnino,艾米·汉莫 Armie Hammer / ...,2017,意大利 法国 巴西 美国,剧情 爱情 同性,8.8,0,,https://movie.douban.com/subject/26799731/
幸福终点站,/ 机场客运站(港)  /  航站情缘(台),史蒂文·斯皮尔伯格 Steven Spielberg,汤姆·汉克斯 Tom Hanks...,2004,美国,喜剧 剧情 爱情,8.8,0,,https://movie.douban.com/subject/1292274/
釜山行,/ 尸杀列车(港)  /  尸速列车(台),延尚昊 Sang-ho Yeon,孔刘 Yoo Gong / 郑有美 Yu-mi Jung / 马...,2016,韩国,动作 惊悚 灾难,8.6,0,,https://movie.douban.com/subject/25986180/
神偷奶爸,/ 卑鄙的我  /  坏蛋奖门人(港),皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud,...,2010,美国 法国,喜剧 动画 冒险,8.7,0,,https://movie.douban.com/subject/3287562/
小森林 冬春篇,/ 小森食光 / 冬春篇(台),森淳一 Junichi Mori,桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,2015,日本,剧情,9.0,0,,https://movie.douban.com/subject/25814707/
喜宴,/ The Wedding Banquet,李安 Ang Lee,赵文瑄 Winston Chao / 归亚蕾 Ya-lei Kuei / 郎...,1993,中国台湾 美国,剧情 喜剧 爱情 同性 家庭,9.0,0,,https://movie.douban.com/subject/1303037/
萤火之森,/ 萤火之社  /  Hotarubi no mori e,大森贵弘 Takahiro Omori,佐仓绫音 Ayane Sakura / 内山昂辉 K...,2011,日本,剧情 爱情 动画 奇幻,8.8,0,,https://movie.douban.com/subject/5989818/
告白,/ 自白  /  母亲,中岛哲也 Tetsuya Nakashima,松隆子 Takako Matsu / 冈田将生 ...,2010,日本,剧情 悬疑,8.8,0,,https://movie.douban.com/subject/4268598/
玛丽和麦克斯,/ 玛丽和马克思  /  巧克力情缘(台),亚当·艾略特 Adam Elliot,托妮·科莱特 Toni Collette / 菲利...,2009,澳大利亚 美国,剧情 喜剧 动画,9.0,0,,https://movie.douban.com/subject/3072124/
七武士,/ 七侠四义(港)  /  七剑客(港),黑泽明 Akira Kurosawa,三船敏郎 Toshirô Mifune / 志村乔 ...,1954,日本,动作 冒险 剧情,9.3,0,,https://movie.douban.com/subject/1295399/
头号玩家,/ 玩家一号  /  挑战者1号(港),史蒂文·斯皮尔伯格 Steven Spielberg,泰伊·谢里丹 Tye Sheri...,2018,美国,动作 科幻 冒险,8.6,0,,https://movie.douban.com/subject/4920389/
模仿游戏,/ 解码游戏(港)  /  模拟游戏,莫滕·泰杜姆 Morten Tyldum,本尼迪克特·康伯巴奇 Benedict C...,2014,英国 美国,剧情 传记 战争 同性,8.8,0,,https://movie.douban.com/subject/10463953/
惊魂记,/ 精神病患者  /  触目惊心(港),阿尔弗雷德·希区柯克 Alfred Hitchcock,安东尼·博金斯 Antho...,1960,美国,悬疑 惊悚 恐怖,9.0,0,,https://movie.douban.com/subject/1293181/
大鱼,/ 大鱼奇缘(港)  /  大智若鱼(台),蒂姆·波顿 Tim Burton,伊万·麦克格雷格 Ewan McGregor / 阿...,2003,美国,剧情 爱情 奇幻 冒险,8.8,0,,https://movie.douban.com/subject/1291545/
心灵奇旅,/ 灵魂奇遇记(港)  /  灵魂急转弯(台),彼特·道格特 Pete Docter / 凯普·鲍尔斯 Kemp Powers,杰米·...,2020,美国,动画 奇幻 音乐,8.7,0,,https://movie.douban.com/subject/24733428/
机器人之梦,/ 再见机器人(台)  /  汪汪梦里人(港),巴勃罗·贝格尔 Pablo Berger,伊万·拉班达 Ivan Labanda,2023,西班牙 法国,剧情 动画 音乐,9.1,0,,https://movie.douban.com/subject/35426925/
射雕英雄传之东成西就,/ 东成西就  /  大英雄 (日本),刘镇伟 Jeffrey Lau,梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri...,1993,中国香港,喜剧 奇幻 武侠 古装,8.7,0,,https://movie.douban.com/subject/1316510/
背靠背，脸对脸,"/ 背对背，脸对脸  /  Back to Back, Face to Face",黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang,牛振华 Zhenhua N...,1994,中国大陆 中国香港,剧情,9.5,0,,https://movie.douban.com/subject/1307856/
血战钢锯岭,/ 钢锯岭  /  钢铁英雄(台),梅尔·吉布森 Mel Gibson,安德鲁·加菲尔德 Andrew Garfield /...,2016,澳大利亚 美国,剧情 传记 历史 战争,8.7,0,,https://movie.douban.com/subject/26325320/
你的名字。,/ 你的名字  /  君之名,新海诚 Makoto Shinkai,神木隆之介 Ryûnosuke Kamiki / 上...,2016,日本,剧情 爱情 动画,8.5,0,,https://movie.douban.com/subject/26683290/
我是山姆,/ 不一样的爸爸(港)  /  他不笨，他是我爸爸(台),杰茜·尼尔森 Jessie Nelson,Sean Penn / Dakota Fanning / Mi...,2001,美国,剧情 家庭,9.0,0,,https://movie.douban.com/subject/1306861/
阳光姐妹淘,/ 阳光姊妹淘(港)  /  桑尼,姜炯哲 Hyeong-Cheol Kang,沈恩京 Eun-kyung Shim / 闵孝琳 Hy...,2011,韩国,剧情 喜剧,8.8,0,,https://movie.douban.com/subject/4917726/
恐怖直播,/ 死亡“动”新闻(港)  /  恐怖攻击直播(台),金秉祐 Byeong-woo Kim,河正宇 Jung-woo Ha / 李璟荣 Kyeong-y...,2013,韩国,剧情 犯罪 悬疑,8.7,0,,https://movie.douban.com/subject/21360417/
黑客帝国3：矩阵革命,/ 22世纪杀人网络3：惊变世纪(港)  /  骇客任务完结篇：最后战役(台),拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski   ...,,2003,美国,动作 科幻,8.8,0,,https://movie.douban.com/subject/1302467/
末路狂花,/ 塞尔玛与路易丝,雷德利·斯科特 Ridley Scott,吉娜·戴维斯 Geena Davis / 苏...,1991,美国 英国 法国,犯罪 剧情 惊悚,9.0,0,,https://movie.douban.com/subject/1291992/
小丑,/ 小丑起源电影：罗密欧  /  Romeo,托德·菲利普斯 Todd Phillips,杰昆·菲尼克斯 Joaquin Phoeni...,2019,美国 加拿大,剧情 犯罪 惊悚,8.7,0,,https://movie.douban.com/subject/27119724/
三块广告牌,/ 广告牌杀人事件(港)  /  意外(台),马丁·麦克唐纳 Martin McDonagh,弗兰西斯·麦克多蒙德 France...,2017,英国 美国,剧情 犯罪,8.7,0,,https://movie.douban.com/subject/26611804/
谍影重重3,/ 叛谍追击3：最后通牒(港)  /  神鬼认证：最后通牒 (台),保罗·格林格拉斯 Paul Greengrass,马特·达蒙 Matt Damon / ...,2007,美国 德国 法国 英国,动作 悬疑 惊悚,8.9,0,,https://movie.douban.com/subject/1578507/
高山下的花环,/ 卫国军魂(港)  /  Wreaths at the Foot of the Mountain,谢晋 Jin Xie,吕晓禾 Xiaohe Lü / 唐国强 Guoqiang Tang / 何...,1984(中国大陆),1985,中国大陆,9.5,0,,https://movie.douban.com/subject/1422283/
电锯惊魂,/ 恐惧斗室(港)  /  夺魂锯(台),詹姆斯·温 James Wan,雷·沃纳尔 Leigh Whannell / 加利·艾...,2004,美国,悬疑 惊悚 恐怖,8.7,0,,https://movie.douban.com/subject/1417598/
无间道2,/ 无间道前传  /  Infernal Affairs II,刘伟强 Andrew Lau / 麦兆辉 Alan Mak,陈冠希 Edison Chen / ...,2003,中国香港,剧情 犯罪 惊悚,8.8,0,,https://movie.douban.com/subject/1307106/
达拉斯买家俱乐部,/ 续命枭雄(港)  /  药命俱乐部(台),让-马克·瓦雷 Jean-Marc Vallée,马修·麦康纳 Matthew McCon...,2013,美国,剧情 传记 同性,8.8,0,,https://movie.douban.com/subject/1793929/
疯狂原始人,/ 古鲁家族(港 / 台),科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders   主演...,,2013,美国,喜剧 动画 冒险,8.7,0,,https://movie.douban.com/subject/1907966/
绿里奇迹,/ 绿色奇迹(台)  /  绿色英里,弗兰克·德拉邦特 Frank Darabont,汤姆·汉克斯 Tom Hanks / ...,1999,美国,犯罪 剧情 奇幻 悬疑,8.9,0,,https://movie.douban.com/subject/1300374/
爱在午夜降临前,/ 情约半生(港)  /  爱在午夜希腊时(台),理查德·林克莱特 Richard Linklater,伊桑·霍克 Ethan Hawke ...,2013,美国 希腊,剧情 爱情,8.9,0,,https://movie.douban.com/subject/10808442/
疯狂的石头,/ Crazy Stone,宁浩 Hao Ning,郭涛 Tao Guo / 刘桦 Hua Liu / 连晋 Teddy Lin,2006,中国大陆 中国香港,喜剧 犯罪,8.6,0,,https://movie.douban.com/subject/1862151/
雨中曲,/ 万花嬉春(港 / 台),斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly,吉恩·...,1952,美国,喜剧 歌舞 爱情,9.1,0,,https://movie.douban.com/subject/1293460/
2001太空漫游,/ 2001：星际漫游  /  2001：太空奥德赛,斯坦利·库布里克 Stanley Kubrick,凯尔·杜拉 Keir Dullea / ...,1968,英国 美国,科幻 惊悚 冒险,8.9,0,,https://movie.douban.com/subject/1292226/
海街日记,/ 海街女孩日记(港)  /  Kamakura Diary,是枝裕和 Hirokazu Koreeda,绫濑遥 Haruka Ayase / 长泽雅美 M...,2015,日本,剧情 家庭,8.8,0,,https://movie.douban.com/subject/25895901/
风之谷,/ 风谷少女  /  Kaze no tani no Naushika,宫崎骏 Hayao Miyazaki,岛本须美 Sumi Shimamoto / 松田洋治 Y...,1984,日本,动画 奇幻 冒险,8.9,0,,https://movie.douban.com/subject/1291585/
上帝之城,/ 无主之城(港)  /  无法无天(台),费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund  &nbsp...,,2002,巴西 法国,犯罪 剧情,9.0,0,,https://movie.douban.com/subject/1292208/
心迷宫,/ 殡棺  /  The Coffin in the Mountain,忻钰坤 Yukun Xin,霍卫民 Weimin Huo / 王笑天 Xiaotian Wang ...,2014,中国大陆,剧情 犯罪 悬疑,8.7,0,,https://movie.douban.com/subject/25917973/
英雄本色,/ A Better Tomorrow  /  Gangland Boss,吴宇森 John Woo,周润发 Yun-Fat Chow / 狄龙 Lung Ti / 张国...,1986,中国香港,剧情 动作 犯罪,8.6,0,,https://movie.douban.com/subject/1297574/
记忆碎片,/ 凶心人(港)  /  记忆拼图(台),克里斯托弗·诺兰 Christopher Nolan,盖·皮尔斯 Guy Pearce /...,2000,美国,犯罪 剧情 悬疑 惊悚,8.7,0,,https://movie.douban.com/subject/1304447/
