title,other_title,director,actors,year,area,genre,rating,rating_people,quote,detail_url
火星救援,/ 火星任务(港)  /  绝地救援(台),雷德利·斯科特 Ridley Scott,马特·达蒙 Matt Damon / 杰西卡...,2015,英国 美国 匈牙利 约旦,剧情 科幻 冒险,8.5,0,,https://movie.douban.com/subject/25864085/
黑客帝国2：重装上阵,/ 22世纪杀人网络2：决战未来(港)  /  骇客任务：重装上阵(台),拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski   ...,,2003,美国,动作 科幻,8.7,0,,https://movie.douban.com/subject/1304141/
冰雪奇缘,/ 魔雪奇缘(港)  /  冰雪大冒险,克里斯·巴克 Chris Buck / 珍妮弗·李 Jennifer Lee,克里斯汀...,2013,美国,喜剧 动画 奇幻 歌舞,8.5,0,,https://movie.douban.com/subject/4202982/
步履不停,/ 横山家之味(港 / 台),是枝裕和 Hirokazu Koreeda,阿部宽 Hiroshi Abe / 夏川结衣 Yu...,2008,日本,剧情 家庭,8.8,0,,https://movie.douban.com/subject/2222996/
奇迹男孩,/ 奇迹,斯蒂芬·卓博斯基 Stephen Chbosky,雅各布·特伦布莱 Jacob Tr...,2017,美国 中国香港,剧情 儿童 家庭,8.6,0,,https://movie.douban.com/subject/26787574/
千年女优,/ Millennium Actress,今敏 Satoshi Kon,庄司美代子 Miyoko Shôji / 小山茉美 Mam...,2001,日本,动画 剧情 爱情,8.8,0,,https://movie.douban.com/subject/1307394/
战争之王,/ 军火之王(台 / 港),安德鲁·尼科尔 Andrew Niccol,尼古拉斯·凯奇 Nicolas Cage /...,2005,美国 德国,剧情 犯罪,8.7,0,,https://movie.douban.com/subject/1419936/
谍影重重2,/ 叛谍追击2：机密圈套(港)  /  神鬼认证：神鬼疑云(台),保罗·格林格拉斯 Paul Greengrass,马特·达蒙 Matt Damon / ...,2004,美国 德国,动作 悬疑 惊悚,8.7,0,,https://movie.douban.com/subject/1308767/
蜘蛛侠：平行宇宙,/ 蜘蛛侠：新纪元  /  蜘蛛人：新宇宙(台),鲍勃·佩尔西凯蒂 Bob Persichetti / 彼得·拉姆齐 Peter Ramsey   主...,,2018,美国,动作 科幻 动画 冒险,8.6,0,,https://movie.douban.com/subject/26374197/
攻壳机动队,/ Ghost in the Shell,押井守 Mamoru Oshii,田中敦子 Atsuko Tanaka / 大冢明夫 Akio...,1995,日本,动作 科幻 动画,9.0,0,,https://movie.douban.com/subject/1291936/
血钻,/ 血钻石(台)  /  血腥钻石,爱德华·兹威克 Edward Zwick,莱昂纳多·迪卡普里奥 Leonardo ...,2006,美国 德国 英国,剧情 惊悚 冒险,8.7,0,,https://movie.douban.com/subject/1428175/
小姐,/ 下女诱罪(港)  /  下女的诱惑(台),朴赞郁 Chan-wook Park,金敏喜 Min-hee Kim / 金泰梨 Tae-ri K...,2016,韩国,剧情 悬疑 情色 同性,8.5,0,,https://movie.douban.com/subject/25977027/
隐藏人物,/ NASA无名英雌(港)  /  关键少数(台),特奥多尔·梅尔菲 Theodore Melfi,塔拉吉·P·汉森 Taraji P. ...,2016,美国,剧情 传记 历史,8.9,0,,https://movie.douban.com/subject/26615208/
魂断蓝桥,/ 滑铁卢桥  /  断桥残梦,茂文·勒鲁瓦 Mervyn LeRoy,费雯·丽 Vivien Leigh / 罗伯特·...,1940,美国,剧情 爱情 战争,8.8,0,,https://movie.douban.com/subject/1293964/
血观音,"/ 修罗花  /  The Bold, the Corrupt, and the Beautiful",杨雅喆 Ya-che Yang,惠英红 Kara Wai Ying Hung / 吴可熙 Wu K...,2017,中国台湾,剧情 悬疑,8.6,0,,https://movie.douban.com/subject/27113517/
房间,/ 不存在的房间(台)  /  抖室(港),伦尼·阿伯拉罕森 Lenny Abrahamson,布丽·拉尔森 Brie Larson...,2015,爱尔兰 加拿大 英国 美国,剧情 家庭,8.7,0,,https://movie.douban.com/subject/25724855/
